track_id,frame_start,frame_end,num_frames,apex_height_meters,total_distance_meters,duration_seconds,avg_speed_kmh,max_speed_kmh,avg_speed_mps,max_speed_mps,start_x,start_y,end_x,end_y,start_zone,end_zone,court_side,displacement_x,displacement_y,displacement_angle_deg,horizontal_direction,vertical_direction,poly_coef_a,poly_coef_b,poly_coef_c,trajectory_r2,num_bounces,crosses_net,in_service_box,net_clearance_pixels,shot_type,height_class,direction,stroke,spin,confidence
0,58,136,77,12.902032863752162,27.351447794187546,1.5609923664122136,62.88467413744258,125.7826526958831,17.467965038178495,34.939625748856415,865.0238263389061,536.9508710714608,500.3320517065409,251.81594478253803,front_right,mid_center,right,-364.69177463236525,-285.13492628892277,-141.97986139161793,cross_court_left,short,0.0020418273001456644,-2.4701105730614126,1038.1667470426617,0.648052297890471,4,True,True,5.1840552174619745,high_lob,extremely_high,cross_court_left_short,forehand,slice,0.95
3,156,270,115,18.170826886137917,40.10949960996357,2.281450381679389,61.36292809347971,201.928004714199,17.045257803744363,56.091112420610834,483.3575525235053,205.932798773405,682.6949940978973,207.32646094928765,back_center,back_center,center,199.33744157439196,1.393662175882639,0.40057532140516966,straight,unknown,-0.022378267589103575,25.31889562327541,-6680.217529955863,0.5205385086294196,11,False,True,49.67353905071235,high_lob,extremely_high,straight,backhand,topspin,0.95
5,285,322,38,11.083738409591918,18.104252411600253,0.7404707379134859,86.99352349365597,151.65463909951532,24.164867637126658,42.126288638754254,782.2226611904672,276.8957333022345,1042.9430994554652,521.8463521542159,mid_center,front_right,center,260.72043826499805,244.9506188519814,43.21375707264804,cross_court_right,deep,-0.004982288783954833,10.076046360005531,-4578.279116689779,0.9747133571323732,2,False,False,264.8463521542159,high_lob,extremely_high,cross_court_right_deep,forehand,topspin,0.85
7,324,394,71,18.683216161654848,29.308835731765363,1.4008905852417302,70.13334851149332,192.07808081541802,19.481485697637034,53.355022448727226,1061.0767572650807,546.62645915107,780.5850946002524,179.38442379345156,front_right,back_center,right,-280.49166266482825,-367.2420353576184,-127.371822189751,cross_court_left,short,0.00241414162911823,-3.343574335557387,1340.4877984137227,0.9574014435431362,8,True,True,77.61557620654844,high_lob,extremely_high,cross_court_left_short,forehand,slice,0.95
10,399,451,53,16.463053181434418,26.77558185556094,1.0406615776081425,90.76334540748019,164.16733099745733,25.212040390966717,45.60203638818259,731.9227820338872,208.8910034135527,326.78600279962626,567.2349880294638,back_center,front_left,center,-405.1367792342609,358.3439846159111,138.50720068770323,cross_court_left,deep,-0.0013705604869397212,0.42233894939997174,595.0136210392344,0.9745143535935249,5,True,False,310.2349880294638,high_lob,extremely_high,cross_court_left_deep,backhand,topspin,0.95
12,449,479,31,8.291389836165326,21.57913491283644,0.600381679389313,129.03912439800078,208.74347628271033,35.84420122166688,57.984298967419534,421.6471623207832,503.1898633572968,848.7887652784772,319.9501479780431,front_left,mid_center,left,427.141602957694,-183.2397153792537,-23.21887550610254,cross_court_right,short,0.001056497977365216,-1.7836990178030763,1072.07641052798,0.9981110246316888,0,False,False,62.950147978043105,lob,very_high,cross_court_right_short,backhand,slice,0.85
14,483,522,39,4.987547407666851,8.858199091246211,0.7804961832061068,40.67333329966158,83.41797578666471,11.298148138794883,23.1716599407402,872.722041253753,338.0676684578386,1006.8549374084148,248.63290337399107,mid_right,mid_right,right,134.1328961546618,-89.43476508384751,-33.69386277232915,straight,unknown,0.01145964657850989,-22.298762109088873,11078.965607724365,0.9919605355049644,0,True,True,8.36709662600893,lob,high,straight,forehand,slice,0.85
17,525,535,11,0.1190800204304091,4.127565968572217,0.20012722646310432,73.99996165320862,74.66444167014727,20.55554490366906,20.74012268615202,932.1184930818573,240.00049298919149,840.9429740055732,242.63216144070353,mid_right,mid_center,right,-91.1755190762841,2.6316684515120414,178.34668730841895,straight,unknown,-6.970367384359583e-06,-0.015820881955547317,260.83486712635414,0.9912197260398319,0,False,True,14.367838559296473,low_shot,extremely_low,straight,forehand,flat,0.7
19,546,584,39,15.758460253182736,25.754243760113397,0.7604834605597964,121.78676760654318,154.46073730467373,33.82965766848422,42.90576036240937,728.5638330289431,276.72031346351554,285.4212744137201,624.982285058854,mid_center,front_left,center,-443.14255861522304,348.2619715953385,141.83649587929227,cross_court_left,deep,0.0008990982813740293,-1.7027800414618524,1039.9787588531854,0.999962771196641,0,False,False,367.982285058854,high_lob,extremely_high,cross_court_left_deep,backhand,flat,0.85
22,628,639,12,0.03885459461708336,0.11897224205480807,0.22013994910941476,1.616283094980833,2.1669977059206427,0.4489675263835647,0.6019438072001785,787.7552182153182,241.83101885041677,788.652180982427,242.01106797833657,mid_center,mid_center,center,0.8969627671087892,0.18004912791980132,11.350254067341357,straight,unknown,0.5114440035789971,-806.5047817228044,318189.8539531236,0.5844614873434117,4,False,True,14.98893202166343,low_shot,extremely_low,straight,forehand,slice,0.7
21,599,640,41,11.264158435529911,24.129724642976946,0.8205216284987277,104.18172881639889,252.0,28.939369115666356,70.0,321.4086882324888,481.19480211884945,770.8670374756858,245.32122595293998,front_left,mid_center,left,449.458349243197,-235.87357616590947,-27.69027245562645,cross_court_right,short,0.0015202688253577003,-2.2377371446353904,1058.8429685609008,0.9932899045348337,0,True,True,11.678774047060017,high_lob,extremely_high,cross_court_right_short,backhand,slice,0.95
23,643,671,29,3.2738028242745614,4.068119321737961,0.5603562340966921,26.068384464925536,58.2034428802089,7.24121790692376,16.16762302228025,780.5448159450049,245.39311963302384,766.8363027399496,176.59247167519882,mid_center,back_center,center,-13.708513205055283,-68.80064795782502,-101.26859471306011,straight,unknown,0.012328631462775332,-17.575456889004588,6397.44773947522,0.3420327194922208,1,False,True,80.40752832480118,groundstroke,medium_high,straight,forehand,slice,0.85
24,673,764,92,16.722284383519543,31.350593459044873,1.8211577608142493,61.38560303124938,134.52800051675152,17.05155639756927,37.36888903243098,764.4009398096904,186.9922319468607,812.8542696241058,258.43029906859704,back_center,mid_center,center,48.45332981441538,71.43806712173634,55.8526642886903,straight,unknown,0.07447082108135561,-116.91853252465532,46136.96678009911,0.7684819375552397,5,True,False,1.4302990685970371,high_lob,extremely_high,straight,forehand,slice,0.95
25,768,872,105,18.50332709747005,47.49758700167082,2.081323155216285,79.00388891821196,206.4563197490707,21.94552469950332,57.348977708075196,818.5346379068131,266.6475058640882,120.17325891951468,625.5241733826041,mid_center,front_left,center,-698.3613789872985,358.8766675185159,152.80209827732867,cross_court_left,deep,0.0004151348158595082,-0.9779957539739477,806.5118627444295,0.9514124278987517,12,False,False,368.5241733826041,high_lob,extremely_high,cross_court_left_deep,forehand,flat,0.95
27,874,884,11,3.5707411432696934,7.0579493188380535,0.20012722646310432,126.3924278291349,128.28452576217308,35.10900773031525,35.63459048949252,85.24363268898485,651.4531076867746,-49.10690672501494,730.3664869530348,front_left,unknown,left,-134.3505394139998,78.91337926626022,149.57133257783238,straight,unknown,0.0005956778989223766,-0.6205535600119949,699.1922207878669,0.9995068482033757,0,False,False,473.36648695303484,groundstroke,medium_high,straight,backhand,flat,0.7
